file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.33,0.35,2.4447334,-15.114707,31.937769,0.05168895,-0.028337315,28.394468,0.012891854,0.51435304,2.973439,10.839458,31.874979,620.04596,1584.9467,-12.648221,1574.4238,-22.480078,2575.1497,-32.34966
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.34,0.36,1.7702156,-16.176466,34.192677,0.02281534,-0.026432939,28.104082,0.010122309,1.8045826,3.8904407,17.40267,34.95473,791.5998,1601.8419,-21.777288,1725.4619,-26.760721,2857.0427,-35.1655
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.35,0.37,1.2322544,-17.884691,33.36798,0.01639762,-0.0253392,28.09845,0.04285937,2.1424289,4.6359725,16.992342,40.35852,796.841,1556.2584,-26.328466,1767.2867,-32.384914,2957.7188,-39.789288
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.36,0.38,1.1170592,-20.296312,34.432335,0.024510661,-0.02611172,28.10647,0.060566593,2.2697046,4.8290367,12.903619,41.394672,715.5136,1535.6251,0.0,1688.8964,-31.188234,2881.7002,-40.443897
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.37,0.39,1.1147195,-22.001617,35.98606,0.0449937,-0.029453555,28.278658,0.07168159,1.2354746,4.9590626,8.354642,41.076603,649.1369,1473.2152,-24.202976,1626.247,-31.706888,2777.8606,-40.56592
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.38,0.4,1.1198219,-22.495157,39.162003,0.03855698,-0.032327857,28.599577,0.044793963,1.143077,4.3056345,5.9930573,41.848297,775.27435,1454.1503,-22.378763,1717.505,-28.475214,3003.8145,-42.466843
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.39,0.41,1.0668956,-22.853485,40.40405,0.040830534,-0.03200142,29.326212,0.032059554,1.0311131,4.1665516,4.8400235,42.80316,623.7504,1527.195,-15.492143,1548.3451,-29.542929,2864.0334,-42.61842
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.4,0.42,1.0105053,-24.072798,38.567207,0.034097627,-0.030656481,30.043312,0.027565284,1.0179595,4.4578424,5.017101,45.47578,515.6131,1607.5586,-4.659421,1391.5834,-29.181519,2580.446,-42.98839
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.41,0.43,1.161109,-24.219435,37.375732,0.047078583,-0.037131276,30.779284,0.027565284,1.0179595,5.729527,7.617124,50.83128,563.77203,1602.2015,-1.6907023,1449.7002,-30.782663,2676.0647,-44.958416
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.42,0.44,1.437797,-26.412485,38.926884,0.05819041,-0.044300105,31.239206,0.04941828,1.8860346,6.741176,9.893198,52.828297,773.5538,1466.067,-10.502255,1751.2135,-37.548893,2974.8728,-45.437347
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.43,0.45,1.7486992,-28.30852,42.241993,0.076886885,-0.054160338,31.62029,0.047809143,1.8140374,7.836462,11.491399,56.2064,934.31793,1315.4462,-19.480274,2011.5107,-43.064804,3395.4316,-48.640095
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.44,0.46,1.8372129,-31.798994,46.450397,0.07886538,-0.05814084,31.80942,0.04781663,1.6759686,8.70427,11.739285,53.409756,957.5916,1228.8278,-24.106665,2160.0498,-47.3004,3560.5437,-46.76598
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.45,0.47,1.6582743,-33.434353,46.64331,0.07004258,-0.060927156,31.805374,0.02354771,0.81412107,7.9087677,10.837883,50.228085,913.1607,1177.9471,-20.658625,2150.9211,-44.38161,3312.0725,-45.06722
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.46,0.48,1.3768357,-32.51898,46.452778,0.06311672,-0.057292897,31.342842,0.01798541,1.2419,5.6403427,11.9518585,44.773407,906.60333,1206.1005,-20.493078,2183.2842,-41.362602,3301.8699,-40.581936
